,home_team,away_team,neutral,match_results,home_recent_wins,away_recent_wins,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,home_win_rate,away_win_rate,home_average_goal_difference,away_average_goal_difference
47597,South Sudan,South Africa,0,0,1.0,2.0,4.0,5.0,10.0,7.0,0.3125,0.46808510638297873,-0.625,-0.06382978723404255
47629,China PR,Saudi Arabia,0,0,3.0,4.0,10.0,9.0,8.0,3.0,0.7962962962962963,0.6153846153846154,2.5925925925925926,0.5769230769230769
47626,Palestine,Jordan,1,0,4.0,4.0,16.0,10.0,1.0,6.0,0.625,0.5681818181818182,1.5416666666666667,0.36363636363636365
47624,Oman,South Korea,0,0,4.0,4.0,10.0,15.0,2.0,3.0,0.8085106382978723,0.5961538461538461,2.25531914893617,0.7115384615384616
47623,United Arab Emirates,Iran,0,0,4.0,4.0,11.0,10.0,4.0,5.0,0.6666666666666666,0.7333333333333333,1.1833333333333333,1.35
47622,Kyrgyzstan,Uzbekistan,0,0,4.0,4.0,10.0,9.0,4.0,4.0,0.5416666666666666,0.5555555555555556,0.625,0.30158730158730157
47620,Paraguay,Brazil,0,1,2.0,2.0,5.0,6.0,7.0,6.0,0.6346153846153846,0.6304347826086957,0.5384615384615384,1.0869565217391304
47618,Chile,Bolivia,0,0,1.0,0.0,3.0,1.0,7.0,16.0,0.6229508196721312,0.015873015873015872,0.4918032786885246,-2.4603174603174605
47617,Ecuador,Peru,0,1,3.0,1.0,8.0,1.0,6.0,7.0,0.7272727272727273,0.2638888888888889,1.018181818181818,-1.0416666666666667
47616,Colombia,Argentina,0,1,5.0,5.0,13.0,9.0,2.0,0.0,0.6891891891891891,0.660377358490566,0.9459459459459459,0.5660377358490566
47598,Burkina Faso,Malawi,1,1,4.0,1.0,6.0,2.0,3.0,6.0,0.7543859649122807,0.10869565217391304,1.0526315789473684,-1.6304347826086956
47596,Namibia,Kenya,1,0,2.0,2.0,6.0,9.0,8.0,10.0,0.5294117647058824,0.16666666666666666,-0.11764705882352941,-0.9444444444444444
47627,Bahrain,Japan,0,0,3.0,3.0,10.0,15.0,5.0,5.0,0.7017543859649122,0.7761194029850746,1.3333333333333333,1.4477611940298507
47594,Mozambique,Guinea-Bissau,0,1,3.0,2.0,6.0,4.0,6.0,9.0,0.6285714285714286,0.24,0.5714285714285714,-1.12
47583,Macau,Brunei,0,0,1.0,1.0,5.0,1.0,17.0,18.0,0.15384615384615385,0.1,-2.769230769230769,-3.3
47595,Eswatini,Mali,1,0,0.0,3.0,1.0,7.0,9.0,4.0,0.30434782608695654,0.47058823529411764,-0.9130434782608695,-0.0392156862745098
47585,Gabon,Central African Republic,0,1,4.0,1.0,7.0,10.0,5.0,12.0,0.8157894736842105,0.10344827586206896,1.2894736842105263,-1.4827586206896552
47586,Botswana,Egypt,0,0,2.0,3.0,6.0,8.0,7.0,4.0,0.5263157894736842,0.5102040816326531,0.0,0.24489795918367346
47587,Cape Verde,Mauritania,0,1,5.0,1.0,10.0,4.0,1.0,7.0,0.7209302325581395,0.12903225806451613,0.8837209302325582,-1.7741935483870968
47584,Mongolia,Timor-Leste,0,1,1.0,0.0,3.0,3.0,5.0,21.0,0.35714285714285715,0.0,-0.2857142857142857,-4.125
47590,Liberia,Algeria,0,0,2.0,4.0,7.0,7.0,6.0,3.0,0.6388888888888888,0.4838709677419355,0.5277777777777778,0.016129032258064516
47591,Zambia,Sierra Leone,0,1,3.0,1.0,10.0,5.0,5.0,8.0,0.717391304347826,0.06451612903225806,1.0434782608695652,-1.7096774193548387
47592,Chad,Ivory Coast,1,0,1.0,3.0,1.0,5.0,9.0,4.0,0.4166666666666667,0.6666666666666666,-0.5,0.7192982456140351
47593,Guinea,Tanzania,1,0,2.0,4.0,4.0,4.0,6.0,3.0,0.7659574468085106,0.20588235294117646,1.0851063829787233,-1.3235294117647058
47589,Benin,Libya,1,1,3.0,1.0,5.0,1.0,3.0,7.0,0.7777777777777778,0.19148936170212766,0.9166666666666666,-1.0851063829787233
47672,Saudi Arabia,Japan,0,0,3.0,3.0,9.0,15.0,5.0,5.0,0.8194444444444444,0.7794117647058824,2.0416666666666665,1.5
47671,Australia,China PR,0,1,3.0,1.0,13.0,2.0,3.0,12.0,0.835820895522388,0.47058823529411764,2.746268656716418,0.13725490196078433
47664,Qatar,Kyrgyzstan,0,1,4.0,1.0,12.0,6.0,7.0,12.0,0.6865671641791045,0.4,1.3880597014925373,-0.4
47669,Iraq,Palestine,0,1,4.0,2.0,10.0,6.0,6.0,11.0,0.7142857142857143,0.29411764705882354,1.3392857142857142,-0.6764705882352942
47668,Oman,Kuwait,0,1,3.0,3.0,8.0,7.0,4.0,6.0,0.7916666666666666,0.42424242424242425,2.1666666666666665,-0.42424242424242425
47667,Jordan,South Korea,0,0,3.0,4.0,12.0,15.0,3.0,4.0,0.7446808510638298,0.6037735849056604,1.7234042553191489,0.7358490566037735
47663,Fiji,Solomon Islands,0,1,2.0,2.0,16.0,5.0,9.0,12.0,0.5,0.2727272727272727,3.3333333333333335,-2.272727272727273
47638,Algeria,Togo,0,1,4.0,2.0,10.0,3.0,4.0,4.0,0.78125,0.23529411764705882,1.578125,-0.9019607843137255
47661,Chile,Brazil,0,0,1.0,2.0,4.0,6.0,7.0,6.0,0.6129032258064516,0.6170212765957447,0.46774193548387094,1.0425531914893618
47637,Cape Verde,Botswana,0,0,5.0,1.0,10.0,3.0,1.0,8.0,0.7272727272727273,0.14285714285714285,0.9090909090909091,-1.3333333333333333
47640,DR Congo,Tanzania,0,1,5.0,4.0,9.0,5.0,1.0,4.0,0.7678571428571429,0.22857142857142856,1.2678571428571428,-1.2571428571428571
47642,Burkina Faso,Burundi,1,1,4.0,2.0,8.0,6.0,4.0,9.0,0.7586206896551724,0.22580645161290322,1.0689655172413792,-0.967741935483871
47658,Bolivia,Colombia,0,1,2.0,3.0,8.0,3.0,8.0,2.0,0.47058823529411764,0.5,0.0784313725490196,-0.23214285714285715
47641,Namibia,Zimbabwe,1,0,2.0,0.0,6.0,3.0,8.0,10.0,0.5142857142857142,0.28888888888888886,-0.14285714285714285,-0.7333333333333333
47706,New Zealand,Tahiti,1,1,5.0,1.0,20.0,4.0,2.0,7.0,0.875,0.3,2.75,-0.2
47705,Peru,Uruguay,0,1,2.0,3.0,5.0,6.0,4.0,4.0,0.5490196078431373,0.4393939393939394,0.19607843137254902,-0.25757575757575757
47689,Senegal,Malawi,0,1,4.0,1.0,15.0,2.0,4.0,7.0,0.84375,0.10638297872340426,1.71875,-1.6382978723404256
47688,South Africa,Congo,0,1,5.0,1.0,12.0,3.0,3.0,16.0,0.8,0.2708333333333333,1.08,-1.1041666666666667
47687,Uganda,South Sudan,0,1,2.0,1.0,5.0,2.0,5.0,11.0,0.8048780487804879,0.15,1.0975609756097562,-1.95
47685,Mali,Guinea-Bissau,0,1,4.0,2.0,12.0,5.0,4.0,8.0,0.8103448275862069,0.23076923076923078,1.396551724137931,-1.1153846153846154
47686,Cameroon,Kenya,0,1,5.0,3.0,12.0,10.0,1.0,9.0,0.8666666666666667,0.1891891891891892,1.4933333333333334,-0.8918918918918919
47681,Angola,Niger,0,1,5.0,1.0,10.0,6.0,2.0,12.0,0.8125,0.08333333333333333,1.4375,-1.9444444444444444
47680,Equatorial Guinea,Liberia,0,1,3.0,2.0,6.0,3.0,6.0,6.0,0.6136363636363636,0.19148936170212766,0.29545454545454547,-1.5106382978723405
47679,Nigeria,Libya,0,1,4.0,1.0,12.0,2.0,1.0,7.0,0.8607594936708861,0.1875,1.6075949367088607,-1.0833333333333333
47678,Benin,Rwanda,1,1,4.0,1.0,7.0,2.0,3.0,5.0,0.7837837837837838,0.15384615384615385,0.918918918918919,-1.3333333333333333
47677,Egypt,Mauritania,0,1,5.0,1.0,14.0,3.0,1.0,6.0,0.8902439024390244,0.125,1.8414634146341464,-1.78125
47675,Tunisia,Comoros,0,0,4.0,2.0,9.0,6.0,1.0,7.0,0.8382352941176471,0.16666666666666666,1.7941176470588236,-1.5416666666666667
47683,Ivory Coast,Sierra Leone,0,1,5.0,1.0,8.0,6.0,2.0,8.0,0.8513513513513513,0.0625,1.9189189189189189,-1.6875
47711,Morocco,Central African Republic,0,1,4.0,1.0,13.0,9.0,4.0,12.0,0.8939393939393939,0.1,1.9242424242424243,-1.5
47712,Guinea,Ethiopia,1,1,2.0,0.0,4.0,2.0,6.0,10.0,0.75,0.11764705882352941,1.0416666666666667,-1.7647058823529411
47729,Burundi,Burkina Faso,1,0,2.0,1.0,7.0,6.0,8.0,9.0,0.46153846153846156,0.38461538461538464,-0.07692307692307693,-0.2692307692307692
47746,Zimbabwe,Namibia,1,1,2.0,2.0,5.0,3.0,7.0,8.0,0.6486486486486487,0.2391304347826087,0.7027027027027027,-1.173913043478261
47745,Kenya,Cameroon,1,0,3.0,1.0,8.0,5.0,7.0,10.0,0.7297297297297297,0.58,0.8108108108108109,0.36
47744,Eswatini,Mozambique,1,0,0.0,3.0,0.0,7.0,7.0,10.0,0.2916666666666667,0.28205128205128205,-0.9166666666666666,-1.1538461538461537
47742,Liberia,Equatorial Guinea,0,0,2.0,2.0,7.0,7.0,7.0,8.0,0.6216216216216216,0.16216216216216217,0.43243243243243246,-1.4864864864864864
47741,Gambia,Madagascar,1,1,2.0,1.0,9.0,3.0,8.0,7.0,0.5769230769230769,0.2,0.46153846153846156,-1.35
47743,Togo,Algeria,0,0,1.0,4.0,5.0,9.0,9.0,3.0,0.6595744680851063,0.49206349206349204,0.6170212765957447,0.06349206349206349
47813,China PR,Indonesia,0,1,2.0,2.0,8.0,6.0,9.0,12.0,0.7818181818181819,0.2857142857142857,2.5272727272727273,-1.8571428571428572
47811,South Korea,Iraq,0,1,4.0,4.0,13.0,11.0,5.0,2.0,0.8235294117647058,0.48936170212765956,2.1470588235294117,0.40425531914893614
47809,Jordan,Oman,0,1,3.0,2.0,12.0,6.0,3.0,4.0,0.7291666666666666,0.44,1.6458333333333333,-0.0
47808,Kyrgyzstan,North Korea,0,1,3.0,1.0,10.0,7.0,6.0,7.0,0.52,0.3055555555555556,0.56,-0.6111111111111112
47807,Iran,Qatar,1,1,5.0,3.0,14.0,7.0,3.0,7.0,0.8873239436619719,0.5272727272727272,2.2535211267605635,0.21818181818181817
47806,Uzbekistan,United Arab Emirates,0,1,5.0,4.0,11.0,13.0,2.0,3.0,0.8275862068965517,0.4528301886792453,1.8620689655172413,0.18867924528301888
47805,Brazil,Peru,0,1,4.0,0.0,11.0,0.0,3.0,8.0,0.8636363636363636,0.2602739726027397,1.7840909090909092,-1.0410958904109588
47804,Argentina,Bolivia,0,1,5.0,1.0,10.0,2.0,0.0,12.0,0.8863636363636364,0.03125,1.6704545454545454,-2.40625
47802,Paraguay,Venezuela,0,1,3.0,2.0,6.0,5.0,6.0,9.0,0.6415094339622641,0.22580645161290322,0.5471698113207547,-1.403225806451613
47801,Colombia,Chile,0,1,5.0,0.0,14.0,1.0,3.0,14.0,0.6933333333333334,0.34328358208955223,0.9466666666666667,-0.5671641791044776
